"¿Cuál es la fórmula del retardo ionosférico de código?","Δρ = +40.3·TEC/f² — proporcional al contenido de electrones e inverso al cuadrado de la frecuencia (dispersivo)","GNSS::M3::3.1"
"¿Cuánto vale 1 TECU en metros en L1?","≈ 0.162 m (1 TECU = 10^16 electrones/m²)","GNSS::M3::3.1"
"¿Qué signo tiene el efecto iono en código vs fase de portadora?","El código se RETRASA (+I) y la fase se ADELANTA (−I), mismo módulo — base de la combinación código-menos-fase","GNSS::M3::3.1"
"¿Por qué la ionosfera es dispersiva en banda L y la troposfera no?","La iono es plasma (electrones libres, índice depende de f); la tropo es gas neutro (no dispersiva en L) — por eso la iono se elimina con 2 frecuencias y la tropo solo se modela","GNSS::M3::3.1"
"¿Qué es el modelo Klobuchar?","El modelo iono broadcast de GPS: 8 coeficientes (α,β) que definen un coseno diurno con pico a las 14:00 locales y piso nocturno de 5 ns; corrige ~50% RMS","GNSS::M3::3.1"
"¿Dónde evalúa Klobuchar la hora local y la latitud?","En el IPP (punto de perforación ionosférico): donde el rayo cruza el cascarón a 350 km — puede estar a cientos de km del receptor","GNSS::M3::3.1"
"¿Cuál es el factor de oblicuidad de Klobuchar y cuánto vale a 5°?","F = 1 + 16·(0.53 − E)³ con E en semicírculos; F(5°) ≈ 3: el rayo rasante triplica el retardo vertical","GNSS::M3::3.1"
"¿Qué es NeQuick-G?","El modelo iono broadcast de Galileo: 3 coeficientes (ai0-2) definen el Az efectivo vía el MODIP, y un perfil 3D de densidad electrónica se integra por el rayo; corrige ~70%","GNSS::M3::3.1"
"¿Qué es el MODIP?","La latitud dip modificada: coordenada magnética (grilla publicada por ESA) en la que NeQuick-G evalúa el nivel de ionización Az = ai0 + ai1·μ + ai2·μ²","GNSS::M3::3.1"
"¿Cuál es la jerarquía de defensas contra la ionosfera?","nada < Klobuchar ~50% < NeQuick-G ~70% < SBAS ~85% < iono-free (2 frecuencias) ~100% de 1er orden","GNSS::M3::3.1"
"¿Por qué el pico iono es a las 14:00 y no al mediodía?","Inercia de ionización: la densidad integrada sigue creciendo mientras la producción fotoquímica supera la recombinación (~2 h de retraso, como la temperatura del día)","GNSS::M3::3.1"
"¿Por qué una tormenta geomagnética rompe los modelos broadcast?","Multiplican el TEC (×5–10) y crean gradientes espaciales y centelleo que ninguna climatología de 8 números captura; el residual puede superar los 10 m (ej.: tormenta de mayo 2024)","GNSS::M3::3.1"
"¿Cómo puede el residual iono servir como observable de integridad?","Comparar el retardo medido contra el modelo: residuales ~0 o sin estructura de elevación/hora delatan señal que no atravesó la iono real (spoofing) — pero requiere descartar tormentas (falsos positivos)","GNSS::M3::3.1"
